ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2024-02-05,1.08787038164554,30227769326,0,0.0,0.0,0.0,1.08787038164554,,0.0
2024-02-12,0.8867777441202302,30227769326,0,0.0,0.0,0.0,0.8867777441202302,,0.0
2024-02-19,0.17113788377837272,30227769326,0,0.0,0.0,0.0,0.17113788377837272,,0.0
2024-02-26,-0.535465020275972,30227769326,0,0.0,0.0,-0.0,0.535465020275972,,0.0
2024-02-05,0.49805290947405434,30227769849,2,,0.0,0.0,1.5019470905259458,0.7509735452629729,
2024-02-12,0.4387055521285434,30227769849,0,,0.0,0.0,0.4387055521285434,,
2024-02-19,0.22819685823479585,30227769849,0,0.0,0.0,0.0,0.22819685823479585,,0.0
2024-02-26,0.03210175835782103,30227769849,0,0.0,0.0,0.0,0.03210175835782103,,0.0
2024-02-05,0.00771459922638329,30323747828,0,0.0,0.0,0.0,0.00771459922638329,,0.0
2024-02-12,0.026864190006138086,30323747828,0,0.0,0.0,0.0,0.026864190006138086,,0.0
2024-02-19,-0.029902476950769048,30323747828,0,0.0,0.0,-0.0,0.029902476950769048,,0.0
2024-02-26,-0.09553105077073583,30323747828,0,0.0,0.0,-0.0,0.09553105077073583,,0.0
2024-02-05,0.09057516669882029,30323761316,0,0.0,0.0,0.0,0.09057516669882029,,0.0
2024-02-12,0.08467400815594037,30323761316,0,0.0,0.0,0.0,0.08467400815594037,,0.0
2024-02-19,0.02823473300797688,30323761316,0,0.0,0.0,0.0,0.02823473300797688,,0.0
2024-02-26,-0.050583107169785854,30323761316,0,0.0,0.0,-0.0,0.050583107169785854,,0.0
2024-02-05,-0.04358717095384834,30323764884,0,0.0,0.0,-0.0,0.04358717095384834,,0.0
2024-02-12,-0.1970029563796218,30323764884,0,0.0,0.0,-0.0,0.1970029563796218,,0.0
2024-02-19,-0.15692859609585735,30323764884,0,0.0,0.0,-0.0,0.15692859609585735,,0.0
2024-02-26,0.04712260359238221,30323764884,0,0.0,0.0,0.0,0.04712260359238221,,0.0
2024-02-05,-0.037822835510484765,4486038235,0,0.0,0.0,-0.0,0.037822835510484765,,0.0
2024-02-12,0.1466599200792071,4486038235,0,0.0,0.0,0.0,0.1466599200792071,,0.0
2024-02-19,0.2229297275281189,4486038235,0,0.0,0.0,0.0,0.2229297275281189,,0.0
2024-02-26,0.14229115179911084,4486038235,0,0.0,0.0,0.0,0.14229115179911084,,0.0
2024-02-05,-0.006876334741445599,44860385651,0,0.0,0.0,-0.0,0.006876334741445599,,0.0
2024-02-12,-0.002877857849479807,44860385651,0,0.0,0.0,-0.0,0.002877857849479807,,0.0
2024-02-19,0.009238526544900146,44860385651,0,0.0,0.0,0.0,0.009238526544900146,,0.0
2024-02-26,0.013761266774945321,44860385651,0,0.0,0.0,0.0,0.013761266774945321,,0.0
2024-02-05,1.4029576412544207,36407064097,0,0.0,0.0,0.0,1.4029576412544207,,0.0
2024-02-12,1.7882213218156076,36407064097,0,0.0,0.0,0.0,1.7882213218156076,,0.0
2024-02-19,1.2598812554179244,36407064097,0,0.0,0.0,0.0,1.2598812554179244,,0.0
2024-02-26,0.3915474944789742,36407064097,0,0.0,0.0,0.0,0.3915474944789742,,0.0
2024-02-05,6.871862601873981,36442662378,12,,0.0,0.0,5.128137398126019,0.42734478317716823,
2024-02-12,5.385449781216286,36442662378,6,,0.0,0.0,0.6145502187837142,0.10242503646395236,
2024-02-19,4.861846639024489,36442662378,2,,0.0,0.0,2.861846639024489,1.4309233195122446,
2024-02-26,7.3193485620793775,36442662378,5,,0.0,0.0,2.3193485620793775,0.4638697124158755,
2024-02-05,2.7477999029270683,36442913739,6,,0.0,0.0,3.2522000970729317,0.5420333495121553,
2024-02-12,1.9323966861738746,36442913739,3,,0.0,0.0,1.0676033138261254,0.3558677712753751,
